Epoch: 01 | Time: 0m 2s
	Train Loss: 0.647 | Train PPL:   1.910
	 Val. Loss: 0.507 |  Val. PPL:   1.660
Epoch: 02 | Time: 0m 2s
	Train Loss: 0.526 | Train PPL:   1.692
	 Val. Loss: 0.505 |  Val. PPL:   1.658
Epoch: 03 | Time: 0m 2s
	Train Loss: 0.522 | Train PPL:   1.686
	 Val. Loss: 0.482 |  Val. PPL:   1.619
Epoch: 04 | Time: 0m 2s
	Train Loss: 0.490 | Train PPL:   1.633
	 Val. Loss: 0.491 |  Val. PPL:   1.633
Epoch: 05 | Time: 0m 2s
	Train Loss: 0.466 | Train PPL:   1.594
	 Val. Loss: 0.506 |  Val. PPL:   1.659
Epoch: 06 | Time: 0m 2s
	Train Loss: 0.447 | Train PPL:   1.564
	 Val. Loss: 0.471 |  Val. PPL:   1.601
Epoch: 07 | Time: 0m 2s
	Train Loss: 0.441 | Train PPL:   1.554
	 Val. Loss: 0.495 |  Val. PPL:   1.641
Epoch: 08 | Time: 0m 2s
	Train Loss: 0.428 | Train PPL:   1.534
	 Val. Loss: 0.473 |  Val. PPL:   1.605
Epoch: 09 | Time: 0m 2s
	Train Loss: 0.410 | Train PPL:   1.507
	 Val. Loss: 0.461 |  Val. PPL:   1.586
Epoch: 10 | Time: 0m 2s
	Train Loss: 0.402 | Train PPL:   1.495
	 Val. Loss: 0.466 |  Val. PPL:   1.593
Epoch: 11 | Time: 0m 2s
	Train Loss: 0.386 | Train PPL:   1.471
	 Val. Loss: 0.449 |  Val. PPL:   1.567
Epoch: 12 | Time: 0m 2s
	Train Loss: 0.380 | Train PPL:   1.462
	 Val. Loss: 0.452 |  Val. PPL:   1.571
Epoch: 13 | Time: 0m 2s
	Train Loss: 0.369 | Train PPL:   1.446
	 Val. Loss: 0.443 |  Val. PPL:   1.558
Epoch: 14 | Time: 0m 2s
	Train Loss: 0.361 | Train PPL:   1.435
	 Val. Loss: 0.477 |  Val. PPL:   1.611
Epoch: 15 | Time: 0m 2s
	Train Loss: 0.355 | Train PPL:   1.426
	 Val. Loss: 0.457 |  Val. PPL:   1.579
Epoch: 16 | Time: 0m 2s
	Train Loss: 0.336 | Train PPL:   1.399
	 Val. Loss: 0.441 |  Val. PPL:   1.554
Epoch: 17 | Time: 0m 2s
	Train Loss: 0.331 | Train PPL:   1.393
	 Val. Loss: 0.445 |  Val. PPL:   1.560
Epoch: 18 | Time: 0m 2s
	Train Loss: 0.324 | Train PPL:   1.383
	 Val. Loss: 0.451 |  Val. PPL:   1.570
Epoch: 19 | Time: 0m 2s
	Train Loss: 0.311 | Train PPL:   1.364
	 Val. Loss: 0.456 |  Val. PPL:   1.577
Epoch: 20 | Time: 0m 2s
	Train Loss: 0.291 | Train PPL:   1.338
	 Val. Loss: 0.459 |  Val. PPL:   1.582
Epoch: 21 | Time: 0m 2s
	Train Loss: 0.284 | Train PPL:   1.329
	 Val. Loss: 0.471 |  Val. PPL:   1.602
Epoch: 22 | Time: 0m 2s
	Train Loss: 0.282 | Train PPL:   1.326
	 Val. Loss: 0.456 |  Val. PPL:   1.578
Epoch: 23 | Time: 0m 2s
	Train Loss: 0.259 | Train PPL:   1.296
	 Val. Loss: 0.466 |  Val. PPL:   1.594
Epoch: 24 | Time: 0m 2s
	Train Loss: 0.248 | Train PPL:   1.281
	 Val. Loss: 0.493 |  Val. PPL:   1.637
Epoch: 25 | Time: 0m 2s
	Train Loss: 0.242 | Train PPL:   1.274
	 Val. Loss: 0.491 |  Val. PPL:   1.634
Epoch: 26 | Time: 0m 2s
	Train Loss: 0.223 | Train PPL:   1.249
	 Val. Loss: 0.518 |  Val. PPL:   1.679
Epoch: 27 | Time: 0m 2s
	Train Loss: 0.211 | Train PPL:   1.235
	 Val. Loss: 0.523 |  Val. PPL:   1.686
Epoch: 28 | Time: 0m 2s
	Train Loss: 0.210 | Train PPL:   1.234
	 Val. Loss: 0.491 |  Val. PPL:   1.634
Epoch: 29 | Time: 0m 2s
	Train Loss: 0.197 | Train PPL:   1.217
	 Val. Loss: 0.535 |  Val. PPL:   1.707
Epoch: 30 | Time: 0m 2s
	Train Loss: 0.187 | Train PPL:   1.206
	 Val. Loss: 0.520 |  Val. PPL:   1.682
