Epoch: 01 | Time: 0m 13s
	Train Loss: 0.771 | Train PPL:   2.162
	 Val. Loss: 0.681 |  Val. PPL:   1.976
Epoch: 02 | Time: 0m 13s
	Train Loss: 0.668 | Train PPL:   1.951
	 Val. Loss: 0.689 |  Val. PPL:   1.992
Epoch: 03 | Time: 0m 13s
	Train Loss: 0.607 | Train PPL:   1.836
	 Val. Loss: 0.599 |  Val. PPL:   1.820
Epoch: 04 | Time: 0m 13s
	Train Loss: 0.585 | Train PPL:   1.795
	 Val. Loss: 0.590 |  Val. PPL:   1.804
Epoch: 05 | Time: 0m 13s
	Train Loss: 0.552 | Train PPL:   1.736
	 Val. Loss: 0.637 |  Val. PPL:   1.891
Epoch: 06 | Time: 0m 13s
	Train Loss: 0.527 | Train PPL:   1.693
	 Val. Loss: 0.652 |  Val. PPL:   1.920
Epoch: 07 | Time: 0m 13s
	Train Loss: 0.515 | Train PPL:   1.673
	 Val. Loss: 0.566 |  Val. PPL:   1.761
Epoch: 08 | Time: 0m 13s
	Train Loss: 0.469 | Train PPL:   1.598
	 Val. Loss: 0.814 |  Val. PPL:   2.257
Epoch: 09 | Time: 0m 13s
	Train Loss: 0.451 | Train PPL:   1.569
	 Val. Loss: 0.671 |  Val. PPL:   1.956
Epoch: 10 | Time: 0m 13s
	Train Loss: 0.439 | Train PPL:   1.552
	 Val. Loss: 0.721 |  Val. PPL:   2.057
Epoch: 11 | Time: 0m 12s
	Train Loss: 0.415 | Train PPL:   1.514
	 Val. Loss: 0.826 |  Val. PPL:   2.284
Epoch: 12 | Time: 0m 13s
	Train Loss: 0.387 | Train PPL:   1.472
	 Val. Loss: 0.854 |  Val. PPL:   2.349
Epoch: 13 | Time: 0m 12s
	Train Loss: 0.386 | Train PPL:   1.470
	 Val. Loss: 0.707 |  Val. PPL:   2.027
Epoch: 14 | Time: 0m 12s
	Train Loss: 0.343 | Train PPL:   1.409
	 Val. Loss: 0.941 |  Val. PPL:   2.562
Epoch: 15 | Time: 0m 12s
	Train Loss: 0.356 | Train PPL:   1.428
	 Val. Loss: 0.888 |  Val. PPL:   2.430
Epoch: 16 | Time: 0m 12s
	Train Loss: 0.309 | Train PPL:   1.361
	 Val. Loss: 1.073 |  Val. PPL:   2.923
Epoch: 17 | Time: 0m 13s
	Train Loss: 0.305 | Train PPL:   1.356
	 Val. Loss: 1.292 |  Val. PPL:   3.640
Epoch: 18 | Time: 0m 12s
	Train Loss: 0.293 | Train PPL:   1.340
	 Val. Loss: 1.021 |  Val. PPL:   2.775
Epoch: 19 | Time: 0m 12s
	Train Loss: 0.284 | Train PPL:   1.329
	 Val. Loss: 1.067 |  Val. PPL:   2.906
Epoch: 20 | Time: 0m 12s
	Train Loss: 0.278 | Train PPL:   1.321
	 Val. Loss: 1.100 |  Val. PPL:   3.004
Epoch: 21 | Time: 0m 12s
	Train Loss: 0.245 | Train PPL:   1.278
	 Val. Loss: 1.268 |  Val. PPL:   3.555
Epoch: 22 | Time: 0m 12s
	Train Loss: 0.239 | Train PPL:   1.269
	 Val. Loss: 1.189 |  Val. PPL:   3.283
Epoch: 23 | Time: 0m 12s
	Train Loss: 0.246 | Train PPL:   1.280
	 Val. Loss: 1.161 |  Val. PPL:   3.194
Epoch: 24 | Time: 0m 12s
	Train Loss: 0.225 | Train PPL:   1.252
	 Val. Loss: 1.381 |  Val. PPL:   3.981
Epoch: 25 | Time: 0m 12s
	Train Loss: 0.230 | Train PPL:   1.259
	 Val. Loss: 1.253 |  Val. PPL:   3.500
Epoch: 26 | Time: 0m 12s
	Train Loss: 0.204 | Train PPL:   1.227
	 Val. Loss: 1.414 |  Val. PPL:   4.114
Epoch: 27 | Time: 0m 12s
	Train Loss: 0.202 | Train PPL:   1.223
	 Val. Loss: 1.832 |  Val. PPL:   6.248
Epoch: 28 | Time: 0m 12s
	Train Loss: 0.193 | Train PPL:   1.213
	 Val. Loss: 1.526 |  Val. PPL:   4.599
Epoch: 29 | Time: 0m 12s
	Train Loss: 0.212 | Train PPL:   1.237
	 Val. Loss: 1.529 |  Val. PPL:   4.613
Epoch: 30 | Time: 0m 12s
	Train Loss: 0.191 | Train PPL:   1.210
	 Val. Loss: 1.623 |  Val. PPL:   5.070
